star_id,PERIOD,ACTIVITY,CYCLE,OVERLAP,INCL,MINLAT,MAXLAT,DIFFROT,TSPOT,BFLY,n_methods_found,found_by_any
smarts-tess-v1.0-000000,0.1005000025033951,7.75029993057251,5.232999801635742,0.1512999981641769,0.5069000124931335,17.96929931640625,33.28509902954102,0.2258999943733215,2.919699907302856,True,1,True
smarts-tess-v1.0-000100,0.1176000013947487,2.105299949645996,5.617199897766113,1.817999958992004,0.4706999957561493,10.56589984893799,43.78670120239258,0.2236000001430511,4.353300094604492,True,0,False
smarts-tess-v1.0-000200,0.133200004696846,2.090100049972534,1.426100015640259,0.7299000024795532,1.020599961280823,23.0576000213623,62.42430114746094,0.8062000274658203,1.409600019454956,True,0,False
smarts-tess-v1.0-000300,0.1509999930858612,3.381400108337402,5.781599998474121,0.1076999977231026,0.1225999966263771,29.63059997558594,74.76470184326172,0.1693000048398972,4.586999893188477,True,0,False
smarts-tess-v1.0-000400,0.1682000011205673,0.1392000019550323,4.991300106048584,2.822000026702881,0.8233000040054321,16.74360084533691,69.21240234375,0.0,2.511300086975098,True,0,False
smarts-tess-v1.0-000500,0.1855999976396561,6.881999969482422,1.510400056838989,0.2989000082015991,0.9652000069618224,32.64569854736328,78.92389678955078,0.0,4.013400077819824,True,2,True
smarts-tess-v1.0-000600,0.2062000036239624,0.1571999937295914,7.095799922943115,0.8215000033378601,0.8948000073432922,4.086100101470947,74.63780212402344,-0.3206999897956848,4.996600151062012,False,0,False
smarts-tess-v1.0-000700,0.2239000052213669,5.698599815368652,13.12569999694824,1.580899953842163,0.4900000095367432,3.363600015640259,45.58140182495117,0.6276000142097473,5.051000118255615,True,0,False
smarts-tess-v1.0-000800,0.2406000047922134,1.799700021743774,3.048399925231934,1.633700013160706,0.927299976348877,32.32339859008789,61.89970016479492,0.0,6.329800128936768,False,1,True
smarts-tess-v1.0-000900,0.2583999931812286,0.1133999973535538,1.348199963569641,2.249099969863892,1.540300011634827,2.990600109100342,65.3584976196289,0.1870000064373016,1.131100058555603,True,0,False
smarts-tess-v1.0-001000,0.2782000005245209,3.562400102615356,14.4512996673584,0.3729999959468842,0.2784999907016754,1.839900016784668,78.5740966796875,0.2894999980926514,1.211199998855591,True,0,False
smarts-tess-v1.0-001100,0.2940999865531921,0.9031999707221984,6.559700012207031,0.2657999992370605,0.661300003528595,21.62369918823242,55.48199844360352,-0.2419999986886978,1.608399987220764,True,0,False
smarts-tess-v1.0-001200,0.3100999891757965,0.679099977016449,17.20750045776367,0.5483999848365784,0.7572000026702881,7.773600101470947,16.46299934387207,0.3783000111579895,1.977399945259094,True,0,False
smarts-tess-v1.0-001300,0.326200008392334,0.8080999851226807,2.800899982452393,0.6625000238418579,0.953499972820282,38.2411003112793,48.16479873657227,0.2281000018119812,1.552099943161011,True,0,False
smarts-tess-v1.0-001400,0.3458000123500824,0.1233000010251999,13.63640022277832,0.6047999858856201,1.23580002784729,10.87609958648682,55.06969833374023,-0.4147999882698059,7.545499801635742,True,0,False
smarts-tess-v1.0-001500,0.3632000088691711,0.1775999963283539,5.845399856567383,0.1248999983072281,0.5408999919891357,38.72980117797852,61.77209854125977,0.8659999966621399,5.42140007019043,True,0,False
